5.0710 	WARNING 	Monitor specification not found. Creating a temporary one...
85.2220 	EXP 	fixation_cross offset
85.2220 	EXP 	patch_choice onset
85.8753 	DATA 	Keypress: b
85.8888 	EXP 	patch_choice offset
85.8888 	EXP 	choice_feedback onset
86.4059 	EXP 	choice_feedback offset
86.4059 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch29.png'
86.4059 	EXP 	fixation_cross onset
87.9068 	EXP 	fixation_cross offset
87.9068 	EXP 	patch_choice onset
88.5781 	DATA 	Keypress: b
88.5882 	EXP 	patch_choice offset
88.5882 	EXP 	choice_feedback onset
89.0883 	EXP 	choice_feedback offset
89.0883 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch12.png'
89.0883 	EXP 	fixation_cross onset
90.5891 	EXP 	fixation_cross offset
90.5891 	EXP 	patch_choice onset
91.3415 	DATA 	Keypress: a
91.3551 	EXP 	patch_choice offset
91.3551 	EXP 	choice_feedback onset
91.8723 	EXP 	choice_feedback offset
91.8723 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch30.png'
91.8723 	EXP 	fixation_cross onset
93.3718 	EXP 	fixation_cross offset
93.3718 	EXP 	patch_choice onset
93.9408 	DATA 	Keypress: b
93.9548 	EXP 	patch_choice offset
93.9548 	EXP 	choice_feedback onset
94.4549 	EXP 	choice_feedback offset
94.4549 	EXP 	message_beginning onset
99.4549 	EXP 	message_beginning offset
99.4549 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch6.png'
99.4549 	EXP 	fixation_cross onset
100.9550 	EXP 	fixation_cross offset
100.9550 	EXP 	patch_choice onset
101.7579 	DATA 	Keypress: a
101.7885 	EXP 	patch_choice offset
101.7885 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch24.png'
101.7885 	EXP 	fixation_cross onset
103.2879 	EXP 	fixation_cross offset
103.2879 	EXP 	patch_choice onset
104.3404 	DATA 	Keypress: b
104.3713 	EXP 	patch_choice offset
104.3713 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch4.png'
104.3713 	EXP 	fixation_cross onset
105.8714 	EXP 	fixation_cross offset
105.8714 	EXP 	patch_choice onset
106.4576 	DATA 	Keypress: a
106.4881 	EXP 	patch_choice offset
106.4881 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch22.png'
106.4881 	EXP 	fixation_cross onset
107.9877 	EXP 	fixation_cross offset
107.9877 	EXP 	patch_choice onset
108.9567 	DATA 	Keypress: b
108.9877 	EXP 	patch_choice offset
108.9877 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch16.png'
108.9877 	EXP 	fixation_cross onset
110.4878 	EXP 	fixation_cross offset
110.4878 	EXP 	patch_choice onset
111.1644 	DATA 	Keypress: b
111.1876 	EXP 	patch_choice offset
111.1876 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch27.png'
111.1876 	EXP 	fixation_cross onset
112.6880 	EXP 	fixation_cross offset
